,mom_1m,mom_3m,mom_6m,mom_12m_skip1,mom_accel,reversal_1w,lowvol,idio_vol,volsurge,high_52w_distance,rsi,beta_to_spy,sec_rel_mom_12m,sec_rel_mom_3m,sec_rel_lowvol,pe,pb,ps,evebitda,roe_ttm,roa_ttm,netmargin,de,rev_growth_yoy,fcfps,vix_level,yield_curve
mom_1m,1.0,0.42751662355751874,0.24878144680243486,-0.11610836472227924,0.16411643752774643,-0.3597521544518543,-0.37789292996638457,-0.27945866450768536,-0.0628746042158816,0.04126805225660997,-0.7262838108033978,-0.4690438932686156,-0.0418336345703064,0.2746817330332751,-0.16543565310539426,-0.001977185105071559,0.0498238055199661,-0.09873914404433595,-0.007542893411057119,0.05040629786617915,0.019250364126073793,-0.011469530413406844,0.037929148908644725,-0.05118741947200332,-0.0520527239191131,,
mom_3m,0.42751662355751874,1.0,0.5982308405369521,0.1859539082935198,0.36493475254313434,-0.16954058202955796,-0.43785968896395316,-0.31583912543531045,-0.014283777300502091,0.2882557874705768,-0.32045170814192386,-0.56382030298524,0.17280033774135345,0.8509028393093929,-0.2693532328625234,-0.0016879384440465274,0.01820402924838759,-0.1053234385183111,-0.021615809896039673,0.05937370433579647,0.054544614460314736,-0.005802401368510163,0.016889986130872215,0.06921203779267127,0.07053214848809611,,
mom_6m,0.24878144680243486,0.5982308405369521,1.0,0.5498187448993873,-0.5277437717271942,-0.1016304422048255,-0.041488477627686635,0.018242653721246,0.0561719017731476,0.6379524939767485,-0.1724610845051063,-0.16039886228252187,0.48306060910391646,0.5634367097617692,0.003530661616140028,-0.03069622663445493,-0.005666512462601835,-0.02619026893801922,-0.014005147360532646,0.016995936278879253,0.06876222185054287,0.06616215497581732,-0.07366096418450083,0.04989917059414701,0.08568439937301492,,
mom_12m_skip1,-0.11610836472227924,0.1859539082935198,0.5498187448993873,1.0,-0.4431481086780263,-0.11155731019625663,0.24498273041986526,0.29501538635216407,0.061674568276045415,0.6632759039679795,0.058345207153059665,0.04020222317204184,0.8062413706179155,0.21977084395683824,0.11008939325841535,0.10158021170749756,-0.0328929140758751,0.26295807984593034,0.05244342958015654,0.014559292844036564,0.12934566847656945,0.06603550402205842,-0.107443296830573,0.10318077819654678,0.09224503002256355,,
mom_accel,0.16411643752774643,0.36493475254313434,-0.5277437717271942,-0.4431481086780263,1.0,-0.061631860290488165,-0.417304046114579,-0.3571548815607513,-0.08040519247660058,-0.43708498281051644,-0.1393018202377649,-0.41265274642104177,-0.3793185704743293,0.2473179054560199,-0.2905742708922486,0.03378629754999861,0.025910937939113376,-0.08156420693654676,-0.006736555552845874,0.04350698986845697,-0.021691977584927205,-0.08293744862421577,0.10332839028767518,0.015796719096651896,-0.02430809003398975,,
reversal_1w,-0.3597521544518543,-0.16954058202955796,-0.1016304422048255,-0.11155731019625663,-0.061631860290488165,1.0,0.0182823332296831,-0.10496064051607903,0.07223339489576112,-0.1693630990994756,0.501282518708664,0.3032854940664863,-0.020440891476779115,-0.04490802303005634,0.026595872760011702,-0.10065011606042684,-0.10547712603331794,-0.11413494343315198,-0.051775780706676364,-0.07200528889672472,-0.023122903035746087,-0.007570436829234913,-0.08318965916350528,-0.11943710973426418,0.05142908635757589,,
lowvol,-0.37789292996638457,-0.43785968896395316,-0.041488477627686635,0.24498273041986526,-0.417304046114579,0.0182823332296831,1.0,0.9590207511568917,0.043600074144095384,0.4868107753733867,0.15310771149095503,0.6965749876325822,0.16485896880693218,-0.253391456587938,0.6454635650601528,-0.012339014905030497,-0.03801388333554797,0.17148459066653998,0.03448819179659996,-0.015300413642777667,0.017350441310339755,0.2031378156638807,-0.06394896357220495,0.020433648503579725,0.002278603293459333,,
idio_vol,-0.27945866450768536,-0.31583912543531045,0.018242653721246,0.29501538635216407,-0.3571548815607513,-0.10496064051607903,0.9590207511568917,1.0,0.04633808673251653,0.5598318237061959,0.03745137831357115,0.4691658066866411,0.17799143208154108,-0.18960980416649978,0.6245085217121982,-0.00795546774155602,-0.03268914051002664,0.16122831621878148,0.043736172727491286,-0.004479721333136054,0.058712832383768676,0.23440428081933995,-0.051269003290852086,-0.004659514156392867,0.0020093959652509705,,
volsurge,-0.0628746042158816,-0.014283777300502091,0.0561719017731476,0.061674568276045415,-0.08040519247660058,0.07223339489576112,0.043600074144095384,0.04633808673251653,1.0,0.055564813327380266,0.11749288788008347,0.01736157947777865,-0.0003211157946737991,0.010483432269885268,-0.011285480168394969,-0.05196526899921076,0.005147618861575873,-0.041828178960303955,0.05266090742317569,0.03762645766166095,-0.059470089000831824,-0.02328998623702405,-0.024276347575899228,-0.06582938592844195,0.0265700734719311,,
high_52w_distance,0.04126805225660997,0.2882557874705768,0.6379524939767485,0.6632759039679795,-0.43708498281051644,-0.1693630990994756,0.4868107753733867,0.5598318237061959,0.055564813327380266,1.0,-0.14273908707055863,0.11363391191261972,0.5184007177588734,0.32441107929477414,0.2917644722021045,0.05009301457021375,0.00736714991260858,0.06888446166399602,0.023716851965689695,0.026912293820555426,0.04090950032736904,0.1363422797888537,-0.0395454684457144,0.1037280758228642,0.0796557152037948,,
rsi,-0.7262838108033978,-0.32045170814192386,-0.1724610845051063,0.058345207153059665,-0.1393018202377649,0.501282518708664,0.15310771149095503,0.03745137831357115,0.11749288788008347,-0.14273908707055863,1.0,0.3756680020005613,0.01729859720856037,-0.19705420539534674,0.03277312815226391,-0.007987837068864339,-0.04780678018885304,0.03395650530848976,-0.033579772337368446,-0.030301302032281728,-0.088713426687717,-0.004650391118980313,-0.04447930349424802,-0.03588289468718662,0.05096097551469025,,
beta_to_spy,-0.4690438932686156,-0.56382030298524,-0.16039886228252187,0.04020222317204184,-0.41265274642104177,0.3032854940664863,0.6965749876325822,0.4691658066866411,0.01736157947777865,0.11363391191261972,0.3756680020005613,1.0,0.06906552996846992,-0.29164676605844564,0.4114782517479903,-0.023029251672646606,-0.02639060084670533,0.1544642975309661,-0.005200650337181339,-0.03261896401259012,-0.0836907317255322,0.05332595715556663,-0.06164441337491684,0.06449472736932722,0.015599325551857912,,
sec_rel_mom_12m,-0.0418336345703064,0.17280033774135345,0.48306060910391646,0.8062413706179155,-0.3793185704743293,-0.020440891476779115,0.16485896880693218,0.17799143208154108,-0.0003211157946737991,0.5184007177588734,0.01729859720856037,0.06906552996846992,1.0,0.19912014198111302,0.30334501541925984,0.033567368411787805,-0.011873791917988812,0.0984971230963279,0.029527350256407254,0.012819246185254025,0.05852905618883876,-0.0399698891534527,-0.0780822843439979,0.061149625443849505,0.05508961009923724,,
sec_rel_mom_3m,0.2746817330332751,0.8509028393093929,0.5634367097617692,0.21977084395683824,0.2473179054560199,-0.04490802303005634,-0.253391456587938,-0.18960980416649978,0.010483432269885268,0.32441107929477414,-0.19705420539534674,-0.29164676605844564,0.19912014198111302,1.0,-0.3259166622104329,0.014765232142838907,0.01268206619825122,-0.04590032698795057,-0.020779169651440502,0.052624247833288285,-0.03863637470618499,0.007839012606166823,0.02353073970449591,0.056187007922297895,0.038157372381452705,,
sec_rel_lowvol,-0.16543565310539426,-0.2693532328625234,0.003530661616140028,0.11008939325841535,-0.2905742708922486,0.026595872760011702,0.6454635650601528,0.6245085217121982,-0.011285480168394969,0.2917644722021045,0.03277312815226391,0.4114782517479903,0.30334501541925984,-0.3259166622104329,1.0,-0.06610074118997841,-0.004204019240498353,-0.015399792346578234,0.03158098720930959,-0.022610143436023633,0.14618014555108058,0.09256127658171483,-0.07413766966753012,-0.021569805656890612,0.02126668110763609,,
pe,-0.001977185105071559,-0.0016879384440465274,-0.03069622663445493,0.10158021170749756,0.03378629754999861,-0.10065011606042684,-0.012339014905030497,-0.00795546774155602,-0.05196526899921076,0.05009301457021375,-0.007987837068864339,-0.023029251672646606,0.033567368411787805,0.014765232142838907,-0.06610074118997841,1.0,-0.00680687268725604,0.18397096860797313,-0.028608008316858127,0.003720657936094234,-0.04930916516096733,-0.028109546781724743,-0.008130608271744225,0.07462332863784296,-0.05629169288918469,,
pb,0.0498238055199661,0.01820402924838759,-0.005666512462601835,-0.0328929140758751,0.025910937939113376,-0.10547712603331794,-0.03801388333554797,-0.03268914051002664,0.005147618861575873,0.00736714991260858,-0.04780678018885304,-0.02639060084670533,-0.011873791917988812,0.01268206619825122,-0.004204019240498353,-0.00680687268725604,1.0,0.06689271760378668,0.005046841841555146,0.5302347922601041,0.03483589372802259,0.030131779830459768,0.7345773666840719,0.01567667070509829,-0.0052113440237139125,,
ps,-0.09873914404433595,-0.1053234385183111,-0.02619026893801922,0.26295807984593034,-0.08156420693654676,-0.11413494343315198,0.17148459066653998,0.16122831621878148,-0.041828178960303955,0.06888446166399602,0.03395650530848976,0.1544642975309661,0.0984971230963279,-0.04590032698795057,-0.015399792346578234,0.18397096860797313,0.06689271760378668,1.0,0.020235454443691517,0.05081224892479314,0.3331096916991153,0.3890291670137541,-0.029173051769156008,0.18197257863698516,-0.09351424229787683,,
evebitda,-0.007542893411057119,-0.021615809896039673,-0.014005147360532646,0.05244342958015654,-0.006736555552845874,-0.051775780706676364,0.03448819179659996,0.043736172727491286,0.05266090742317569,0.023716851965689695,-0.033579772337368446,-0.005200650337181339,0.029527350256407254,-0.020779169651440502,0.03158098720930959,-0.028608008316858127,0.005046841841555146,0.020235454443691517,1.0,-0.004793708255177867,-0.08199576377907829,-0.009567028341404151,1.4976895228575418e-06,0.002751976112242636,-0.04982203648421785,,
roe_ttm,0.05040629786617915,0.05937370433579647,0.016995936278879253,0.014559292844036564,0.04350698986845697,-0.07200528889672472,-0.015300413642777667,-0.004479721333136054,0.03762645766166095,0.026912293820555426,-0.030301302032281728,-0.03261896401259012,0.012819246185254025,0.052624247833288285,-0.022610143436023633,0.003720657936094234,0.5302347922601041,0.05081224892479314,-0.004793708255177867,1.0,-0.03367040524969723,0.027159554878005726,0.14924442400154658,0.019644467208795986,-0.0069231459669739474,,
roa_ttm,0.019250364126073793,0.054544614460314736,0.06876222185054287,0.12934566847656945,-0.021691977584927205,-0.023122903035746087,0.017350441310339755,0.058712832383768676,-0.059470089000831824,0.04090950032736904,-0.088713426687717,-0.0836907317255322,0.05852905618883876,-0.03863637470618499,0.14618014555108058,-0.04930916516096733,0.03483589372802259,0.3331096916991153,-0.08199576377907829,-0.03367040524969723,1.0,0.3706550110783623,-0.07774489013505032,0.014712987561025551,0.13252323331641258,,
netmargin,-0.011469530413406844,-0.005802401368510163,0.06616215497581732,0.06603550402205842,-0.08293744862421577,-0.007570436829234913,0.2031378156638807,0.23440428081933995,-0.02328998623702405,0.1363422797888537,-0.004650391118980313,0.05332595715556663,-0.0399698891534527,0.007839012606166823,0.09256127658171483,-0.028109546781724743,0.030131779830459768,0.3890291670137541,-0.009567028341404151,0.027159554878005726,0.3706550110783623,1.0,-0.00804056039478922,0.04940642834996517,0.0377384504575329,,
de,0.037929148908644725,0.016889986130872215,-0.07366096418450083,-0.107443296830573,0.10332839028767518,-0.08318965916350528,-0.06394896357220495,-0.051269003290852086,-0.024276347575899228,-0.0395454684457144,-0.04447930349424802,-0.06164441337491684,-0.0780822843439979,0.02353073970449591,-0.07413766966753012,-0.008130608271744225,0.7345773666840719,-0.029173051769156008,1.4976895228575418e-06,0.14924442400154658,-0.07774489013505032,-0.00804056039478922,1.0,0.00777321441302767,0.0031411372687548947,,
rev_growth_yoy,-0.05118741947200332,0.06921203779267127,0.04989917059414701,0.10318077819654678,0.015796719096651896,-0.11943710973426418,0.020433648503579725,-0.004659514156392867,-0.06582938592844195,0.1037280758228642,-0.03588289468718662,0.06449472736932722,0.061149625443849505,0.056187007922297895,-0.021569805656890612,0.07462332863784296,0.01567667070509829,0.18197257863698516,0.002751976112242636,0.019644467208795986,0.014712987561025551,0.04940642834996517,0.00777321441302767,1.0,0.048787798698737894,,
fcfps,-0.0520527239191131,0.07053214848809611,0.08568439937301492,0.09224503002256355,-0.02430809003398975,0.05142908635757589,0.002278603293459333,0.0020093959652509705,0.0265700734719311,0.0796557152037948,0.05096097551469025,0.015599325551857912,0.05508961009923724,0.038157372381452705,0.02126668110763609,-0.05629169288918469,-0.0052113440237139125,-0.09351424229787683,-0.04982203648421785,-0.0069231459669739474,0.13252323331641258,0.0377384504575329,0.0031411372687548947,0.048787798698737894,1.0,,
vix_level,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield_curve,,,,,,,,,,,,,,,,,,,,,,,,,,,
